city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%,wind_speed
Khanbari,NP,1609884305,27.3747,87.2039,13.650000000000034,90.0,53.0,1.31
Dolores,AR,1609884074,-36.3132,-57.6792,20.33000000000004,100.0,91.0,5.77
Ampanihy,MG,1609884305,-24.7,44.75,23.29000000000002,1.0,84.0,2.95
Alta Floresta,BR,1609884050,-9.8756,-56.0861,24.75,100.0,92.0,0.77
Nebolchi,RU,1609884306,59.1239,33.3454,-4.339999999999975,98.0,98.0,1.35
Quelimane,MZ,1609884306,-17.8786,36.8883,28.0,20.0,78.0,3.1
Kaitangata,NZ,1609884306,-46.2817,169.8464,16.110000000000014,4.0,76.0,3.58
Quesnel,CA,1609884306,52.9999,-122.5029,2.0,75.0,69.0,6.7
Severo-Kuril'sk,RU,1609884306,50.6789,156.125,-9.109999999999957,84.0,88.0,1.79
Yarmouth,US,1609884306,41.7057,-70.2286,3.890000000000043,90.0,93.0,9.3
Lazi,UA,1609884307,48.0667,24.2333,2.840000000000032,100.0,83.0,1.65
Lima,PE,1609884198,-12.0432,-77.0282,23.33000000000004,0.0,78.0,4.6
Hithadhoo,MV,1609884308,-0.6,73.0833,28.02000000000004,62.0,78.0,7.12
Muroto-misakicho,JP,1609884308,33.2833,134.15,7.480000000000018,92.0,58.0,5.88
Presidente Olegário,BR,1609884100,-18.4178,-46.4181,23.890000000000043,62.0,26.0,1.09
Pangnirtung,CA,1609884309,66.1451,-65.7125,-15.0,90.0,77.0,2.6
Shimoda,JP,1609884196,34.6667,138.95,3.890000000000043,100.0,70.0,0.89
Fernandina Beach,US,1609884094,30.6697,-81.4626,18.0,1.0,36.0,4.1
Batemans Bay,AU,1609884309,-35.7167,150.1833,20.560000000000002,21.0,97.0,1.34
Sur,OM,1609884310,22.5667,59.5289,19.05000000000001,0.0,43.0,3.71
Khovd,MN,1609884310,48.0056,91.6419,-22.92999999999998,0.0,69.0,1.3
Tambopata,PE,1609884310,-12.7333,-69.1833,29.0,75.0,79.0,2.1
Kavieng,PG,1609884311,-2.5744,150.7967,27.29000000000002,100.0,80.0,3.66
Roquetas de Mar,ES,1609884311,36.7642,-2.6148,11.0,75.0,50.0,2.6
Tiksi,RU,1609884311,71.6872,128.8694,-30.69999999999999,100.0,85.0,6.09
Béoumi,CI,1609884312,7.6736,-5.5764,27.0,7.0,69.0,2.1
Belaya Gora,RU,1609884312,68.5333,146.4167,-32.25999999999999,16.0,84.0,3.24
Chake Chake,TZ,1609884312,-5.2459,39.7666,25.410000000000025,0.0,83.0,4.42
Provideniya,RU,1609884312,64.3833,-173.3,-19.049999999999983,0.0,83.0,4.08
Shingū,JP,1609884313,33.7333,135.9833,4.470000000000027,99.0,75.0,2.46
Bredasdorp,ZA,1609884313,-34.5322,20.0403,15.0,1.0,82.0,1.5
Tignère,CM,1609884313,7.3667,12.65,20.480000000000018,0.0,24.0,1.02
Lagoa,PT,1609884314,39.05,-27.9833,14.629999999999995,100.0,80.0,18.5
Pakse,LA,1609884314,15.1167,105.7833,19.49000000000001,0.0,84.0,1.08
Souillac,MU,1609884263,-20.5167,57.5167,25.0,40.0,83.0,2.6
Jiangyou,CN,1609884314,31.7667,104.7167,3.6200000000000045,100.0,68.0,0.87
Caucayá,CO,1609884314,-0.1934,-74.7819,30.79000000000002,76.0,51.0,1.41
Chumikan,RU,1609884314,54.7183,135.315,-30.119999999999976,36.0,77.0,7.81
San Vicente,AR,1609884315,-26.6167,-54.1333,19.370000000000005,100.0,100.0,0.89
Florø,NO,1609884315,61.5996,5.0328,-1.0,0.0,74.0,3.6
Palmer,US,1609884315,42.1584,-72.3287,3.0,90.0,64.0,5.1
Tahe,CN,1609884315,52.3333,124.7333,-31.44999999999999,24.0,80.0,1.87
Moose Factory,CA,1609884316,51.2585,-80.6094,-4.0,90.0,92.0,3.1
Mahanoro,MG,1609884316,-19.9,48.8,23.600000000000023,6.0,86.0,1.01
Babynino,RU,1609884061,54.39,35.73,-4.0,100.0,92.0,4.0
Coquimbo,CL,1609884317,-29.9533,-71.3436,18.0,40.0,68.0,5.7
Vanimo,PG,1609884317,-2.6741,141.3028,26.180000000000007,100.0,85.0,2.53
Nemuro,JP,1609884164,43.3236,145.575,-6.46999999999997,38.0,84.0,4.3
Grand Gaube,MU,1609884317,-20.0064,57.6608,23.33000000000004,17.0,87.0,1.34
Whitianga,NZ,1609884318,-36.8333,175.7,23.05000000000001,0.0,54.0,0.61
